license0,ID,FOG,ARI,CLI,mean,license
ISC,ISC.txt,50.88,61.7,13.83,42.13666667,ISC
MIT,MIT.txt,74.06,90.6,14.06,59.57333333,MIT
Unlicense,Unlicense.txt,83.88,101.4,12.79,66.02333333,Unlicense
BSD-2-Clause,BSD-2-Clause.txt,82.43,101.6,15.8,66.61,BSD-2-Clause
libpng-2.0,libpng-2.0.txt,93.35,117.8,14.88,75.34333333,libpng-2.0
BSD-3-Clause,BSD-3-Clause.txt,94.4,116.7,15.75,75.61666667,BSD-3-Clause
ICU,ICU.txt,104.1,128.6,14.65,82.45,ICU
CNRI-Python-GPL-Compatible,CNRI-Python-GPL-Compatible.txt,249.05,311.2,14.82,191.69,CNRI-Python-GPL-Compatible
MulanPSL-2.0,MulanPSL-2.0.txt,307.08,384.2,15.29,235.5233333,MulanPSL-2.0
Artistic-1.0-Perl,Artistic-1.0-Perl.txt,391.26,488,13.43,297.5633333,Artistic-1.0-Perl
CC0-1.0,CC0-1.0.txt,431.13,537.4,14.82,327.7833333,CC0-1.0
LGPL-3.0,LGPL-3.0.txt,496.1,619,12.27,375.79,LGPL-3.0
MulanPubL-2.0,MulanPubL-2.0.txt,538.65,674.5,15.87,409.6733333,MulanPubL-2.0
Artistic-2.0,Artistic-2.0.txt,550.32,688.3,14.24,417.62,Artistic-2.0
Apache-2.0,Apache-2.0.txt,635.75,794.5,14.94,481.73,Apache-2.0
EPL-1.0,EPL-1.0.txt,681.58,853.1,15.98,516.8866667,EPL-1.0
EPL-2.0,EPL-2.0.txt,854.3,1068.9,15.58,646.26,EPL-2.0
MPL-2.0,MPL-2.0.txt,940.42,1175.7,13.95,710.0233333,MPL-2.0
GPL-2.0+,GPL-2.0+.txt,1187.78,1483.4,12.16,894.4466667,GPL-2.0+
GPL-2.0,GPL-2.0.txt,1187.78,1483.4,12.16,894.4466667,GPL-2.0
LGPL-2.1+,LGPL-2.1+.txt,1748.66,2184.8,12.1,1315.186667,LGPL-2.1+
LGPL-2.1,LGPL-2.1.txt,1748.66,2184.8,12.1,1315.186667,LGPL-2.1
SSPL-1.0,SSPL-1.0.txt,1905.07,2380.9,13.32,1433.096667,SSPL-1.0
AGPL-3.0,AGPL-3.0.txt,2216.48,2770.2,13.08,1666.586667,AGPL-3.0
GPL-3.0+,GPL-3.0+.txt,2260.45,2825.1,12.97,1699.506667,GPL-3.0+
GPL-3.0,GPL-3.0.txt,2260.45,2825.1,12.97,1699.506667,GPL-3.0
